Run command:
./bin/aff3ct --sim-type "BFER" -C "BCH" -N "127" -K "64" -T "10" -m "0" -M "10" -s "0.2" -e "1000" --chn-type "AWGN" --chn-implem "FAST" --sim-pyber "BCH (127,64,10)" 
Curve name:
BCH (127,64,10)
Trace:
# ----------------------------------------------------
# ---- A FAST FORWARD ERROR CORRECTION TOOLBOX >> ----
# ----------------------------------------------------
# Parameters :
# * Simulation ------------------------------------
#    ** Type                   = BFER
#    ** Type of bits           = int32
#    ** Type of reals          = float32
#    ** Date (UTC)             = 2018-07-27 09:19:58
#    ** Git version            = v1.3.2-825-g5c9c077
#    ** Code type (C)          = BCH
#    ** Noise range            = 0 -> 10 dB
#    ** Noise type (E)         = EBN0
#    ** Seed                   = 0
#    ** Statistics             = off
#    ** Debug mode             = off
#    ** Multi-threading (t)    = 8 thread(s)
#    ** Coset approach (c)     = no
#    ** Coded monitoring       = no
#    ** Bad frames tracking    = off
#    ** Bad frames replay      = off
#    ** Bit rate               = 0.503937 (64/127)
#    ** Inter frame level      = 1
# * Source ----------------------------------------
#    ** Type                   = RAND
#    ** Implementation         = STD
#    ** Info. bits (K_info)    = 64
# * Codec -----------------------------------------
#    ** Type                   = BCH
#    ** Info. bits (K)         = 64
#    ** Codeword size (N_cw)   = 127
#    ** Frame size (N)         = 127
#    ** Code rate              = 0.503937 (64/127)
# * Encoder ---------------------------------------
#    ** Type                   = BCH
#    ** Systematic             = yes
# * Decoder ---------------------------------------
#    ** Type (D)               = ALGEBRAIC
#    ** Implementation         = STD
#    ** Systematic             = yes
#    ** Galois field order (m) = 7
#    ** Correction power (T)   = 10
# * Modem -----------------------------------------
#    ** Type                   = BPSK
#    ** Implementation         = STD
#    ** Bits per symbol        = 1
#    ** Sampling factor        = 1
#    ** Sigma square           = on
# * Channel ---------------------------------------
#    ** Type                   = AWGN
#    ** Implementation         = FAST
#    ** Complex                = off
#    ** Add users              = off
# * Monitor ---------------------------------------
#    ** Frame error count (e)  = 1000
#    ** Compute mutual info    = no
# * Terminal --------------------------------------
#    ** Enabled                = yes
#    ** Frequency (ms)         = 500
# 
# The simulation is running...
# ---------------------||------------------------------------------------------||---------------------
#  Signal Noise Ratio  ||   Bit Error Rate (BER) and Frame Error Rate (FER)    ||  Global throughput  
#         (SNR)        ||                                                      ||  and elapsed time   
# ---------------------||------------------------------------------------------||---------------------
# ----------|----------||----------|----------|----------|----------|----------||----------|----------
#     Es/N0 |    Eb/N0 ||      FRA |       BE |       FE |      BER |      FER ||  SIM_THR |    ET/RT 
#      (dB) |     (dB) ||          |          |          |          |          ||   (Mb/s) | (hhmmss) 
# ----------|----------||----------|----------|----------|----------|----------||----------|----------
      -2.98 |     0.00 ||     1016 |    10168 |     1007 | 1.56e-01 | 9.91e-01 ||    2.327 | 00h00'00   
      -2.78 |     0.20 ||     1023 |     9878 |     1013 | 1.51e-01 | 9.90e-01 ||   12.713 | 00h00'00   
      -2.58 |     0.40 ||     1026 |     9534 |     1007 | 1.45e-01 | 9.81e-01 ||   20.597 | 00h00'00   
      -2.38 |     0.60 ||     1033 |     9170 |     1007 | 1.39e-01 | 9.75e-01 ||   20.392 | 00h00'00   
      -2.18 |     0.80 ||     1040 |     8978 |     1008 | 1.35e-01 | 9.69e-01 ||   22.150 | 00h00'00   
      -1.98 |     1.00 ||     1057 |     8436 |     1007 | 1.25e-01 | 9.53e-01 ||   22.231 | 00h00'00   
      -1.78 |     1.20 ||     1093 |     8424 |     1015 | 1.20e-01 | 9.29e-01 ||   23.435 | 00h00'00   
      -1.58 |     1.40 ||     1103 |     8171 |     1010 | 1.16e-01 | 9.16e-01 ||   23.689 | 00h00'00   
      -1.38 |     1.60 ||     1149 |     7861 |     1007 | 1.07e-01 | 8.76e-01 ||   23.691 | 00h00'00   
      -1.18 |     1.80 ||     1195 |     7430 |     1006 | 9.71e-02 | 8.42e-01 ||   22.850 | 00h00'00   
      -0.98 |     2.00 ||     1285 |     7264 |     1006 | 8.83e-02 | 7.83e-01 ||   23.734 | 00h00'00   
      -0.78 |     2.20 ||     1433 |     7056 |     1012 | 7.69e-02 | 7.06e-01 ||   23.360 | 00h00'00   
      -0.58 |     2.40 ||     1597 |     6834 |     1006 | 6.69e-02 | 6.30e-01 ||   23.976 | 00h00'00   
      -0.38 |     2.60 ||     1838 |     6751 |     1005 | 5.74e-02 | 5.47e-01 ||   24.329 | 00h00'00   
      -0.18 |     2.80 ||     2104 |     6551 |     1005 | 4.86e-02 | 4.78e-01 ||   24.461 | 00h00'00   
       0.02 |     3.00 ||     2504 |     6456 |     1005 | 4.03e-02 | 4.01e-01 ||   24.865 | 00h00'00   
       0.22 |     3.20 ||     3138 |     6435 |     1001 | 3.20e-02 | 3.19e-01 ||   25.082 | 00h00'00   
       0.42 |     3.40 ||     3827 |     6206 |     1003 | 2.53e-02 | 2.62e-01 ||   25.075 | 00h00'00   
       0.62 |     3.60 ||     5022 |     6297 |     1001 | 1.96e-02 | 1.99e-01 ||   25.145 | 00h00'00   
       0.82 |     3.80 ||     7115 |     6079 |     1001 | 1.33e-02 | 1.41e-01 ||   26.089 | 00h00'00   
       1.02 |     4.00 ||    10538 |     6072 |     1002 | 9.00e-03 | 9.51e-02 ||   26.432 | 00h00'00   
